Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2021-07-23 23:40:26,2021-07-24 23:10:06,UTC-04:00,2021-07-23 23:40:26,2021-07-24 06:49:38,55,16.5,357,425,154,99,104,68,646,110,85,76,false
2021-07-23 00:08:52,2021-07-23 23:40:26,UTC-04:00,2021-07-23 07:39:00,2021-07-23 08:20:00,2,15.8,13,41,13,0,0,28,591,110,79,,true
2021-07-23 00:08:52,2021-07-23 23:40:26,UTC-04:00,2021-07-23 00:08:52,2021-07-23 07:38:23,54,16.0,360,442,132,108,120,82,669,134,84,78,false
2021-07-21 23:45:51,2021-07-23 00:08:52,UTC-04:00,2021-07-22 06:39:00,2021-07-22 07:00:00,3,14.4,16,21,16,0,0,5,616,134,83,,true
2021-07-21 23:45:51,2021-07-23 00:08:52,UTC-04:00,2021-07-21 23:45:51,2021-07-22 06:14:53,44,16.3,292,389,103,71,118,97,659,112,75,85,false
2021-07-20 23:00:26,2021-07-21 23:45:51,UTC-04:00,2021-07-20 23:00:26,2021-07-21 06:29:55,53,16.5,359,449,238,82,39,90,671,127,80,83,false
2021-07-19 23:28:14,2021-07-20 23:00:26,UTC-04:00,2021-07-19 23:28:14,2021-07-20 05:51:36,47,16.1,307,383,181,53,73,76,660,117,82,85,false
2021-07-18 22:50:58,2021-07-19 23:28:14,UTC-04:00,2021-07-18 22:50:58,2021-07-19 06:59:39,62,16.1,394,488,226,58,110,94,638,124,81,79,false
2021-07-17 23:27:28,2021-07-18 22:50:58,UTC-04:00,2021-07-18 12:26:00,2021-07-18 12:46:00,3,16.9,18,20,18,0,0,2,646,124,101,,true
2021-07-17 23:27:28,2021-07-18 22:50:58,UTC-04:00,2021-07-18 06:35:00,2021-07-18 07:01:00,3,16.1,20,26,14,6,0,6,605,124,89,,true
2021-07-17 23:27:28,2021-07-18 22:50:58,UTC-04:00,2021-07-17 23:27:28,2021-07-18 06:07:53,48,16.5,314,398,181,61,72,84,661,120,78,79,false
2021-07-16 23:31:14,2021-07-17 23:27:28,UTC-04:00,2021-07-16 23:31:14,2021-07-17 06:25:45,61,16.6,346,410,163,59,124,64,566,98,84,70,false
2021-07-15 22:56:28,2021-07-16 23:31:14,UTC-04:00,2021-07-16 16:40:00,2021-07-16 17:40:00,9,16.6,51,60,43,8,0,9,567,98,101,,true
2021-07-15 22:56:28,2021-07-16 23:31:14,UTC-04:00,2021-07-16 10:10:00,2021-07-16 10:38:00,3,17.0,17,28,12,5,0,11,582,98,102,,true
2021-07-15 22:56:28,2021-07-16 23:31:14,UTC-04:00,2021-07-15 22:56:28,2021-07-16 07:31:00,59,16.7,390,514,231,66,93,124,665,114,75,87,false
2021-07-14 22:32:41,2021-07-15 22:56:28,UTC-04:00,2021-07-14 22:32:41,2021-07-15 07:00:40,63,17.1,406,502,244,67,95,96,645,100,80,84,false
2021-07-13 23:16:11,2021-07-14 22:32:41,UTC-04:00,2021-07-13 23:16:11,2021-07-14 07:00:16,58,16.5,378,463,243,67,68,85,658,105,81,82,false
2021-07-12 22:54:52,2021-07-13 23:16:11,UTC-04:00,2021-07-12 22:54:52,2021-07-13 06:48:52,56,15.3,362,473,279,46,37,111,645,108,76,72,false
2021-07-12 00:06:06,2021-07-12 22:54:52,UTC-04:00,2021-07-12 00:06:06,2021-07-12 08:22:46,55,16.1,345,496,171,84,90,151,628,103,70,67,false
2021-07-10 23:37:36,2021-07-12 00:06:06,UTC-04:00,2021-07-10 23:37:36,2021-07-11 06:51:16,57,16.6,361,425,236,72,53,64,633,92,86,73,false
2021-07-09 22:09:29,2021-07-10 23:37:36,UTC-04:00,2021-07-09 22:09:29,2021-07-10 06:36:53,70,17.2,402,500,237,69,96,98,572,88,82,,false
2021-07-08 22:53:16,2021-07-09 22:09:29,UTC-04:00,2021-07-09 07:15:00,2021-07-09 09:10:00,12,15.8,67,115,57,5,5,44,570,88,73,,true
2021-07-08 22:53:16,2021-07-09 22:09:29,UTC-04:00,2021-07-08 22:53:16,2021-07-09 06:48:56,63,15.9,370,475,275,70,25,105,583,74,79,,false
2021-07-07 22:50:05,2021-07-08 22:53:16,UTC-04:00,2021-07-08 11:04:00,2021-07-08 11:55:00,5,17.8,27,51,10,11,6,24,603,74,55,,true
2021-07-07 22:50:05,2021-07-08 22:53:16,UTC-04:00,2021-07-07 22:50:05,2021-07-08 06:19:57,69,16.1,360,444,295,15,50,84,521,0,81,,false
