Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Recovery category,day_of_week,Day of the week
2021-09-08 22:10:44,2021-09-09 22:11:42,UTC-04:00,58.0,37.0,82.0,18.4,3349.0,193.0,63.0,57.0,16.6,392.0,492.0,225.0,68.0,99.0,100.0,687.0,134.0,81.0,78.0,1,Wednesday,Wednesday
2021-09-07 22:54:35,2021-09-08 22:10:44,UTC-04:00,73.0,36.0,96.0,20.3,4032.0,197.0,72.0,44.0,16.1,290.0,436.0,157.0,69.0,64.0,146.0,656.0,111.0,67.0,85.0,2,Tuesday,Tuesday
2021-09-06 22:42:52,2021-09-07 22:54:35,UTC-04:00,86.0,36.0,92.0,19.0,3405.0,186.0,65.0,64.0,16.6,399.0,474.0,210.0,69.0,120.0,75.0,629.0,120.0,84.0,69.0,2,Monday,Monday
2021-09-05 23:05:31,2021-09-06 22:42:52,UTC-04:00,69.0,37.0,80.0,19.8,3296.0,196.0,61.0,61.0,16.2,411.0,509.0,232.0,79.0,100.0,98.0,670.0,132.0,80.0,79.0,2,Sunday,Sunday
2021-09-04 23:25:54,2021-09-05 23:05:31,UTC-04:00,86.0,36.0,90.0,17.9,3350.0,174.0,68.0,57.0,16.4,376.0,445.0,171.0,93.0,112.0,69.0,659.0,123.0,84.0,78.0,2,Saturday,Saturday
2021-09-03 22:06:56,2021-09-04 23:25:54,UTC-04:00,78.0,37.0,85.0,17.7,3273.0,177.0,63.0,60.0,16.5,419.0,523.0,192.0,114.0,113.0,104.0,700.0,146.0,81.0,72.0,2,Friday,Friday
2021-09-03 00:13:29,2021-09-03 22:06:56,UTC-04:00,64.0,36.0,78.0,20.4,3939.0,193.0,73.0,39.0,16.1,250.0,359.0,133.0,70.0,47.0,109.0,641.0,120.0,69.0,55.0,1,Friday,Friday
2021-09-01 22:28:32,2021-09-03 00:13:29,UTC-04:00,56.0,37.0,66.0,15.6,2639.0,171.0,57.0,61.0,16.4,409.0,624.0,163.0,130.0,116.0,215.0,671.0,124.0,65.0,66.0,1,Wednesday,Wednesday
2021-08-31 22:50:31,2021-09-01 22:28:32,UTC-04:00,42.0,36.0,62.0,19.2,3967.0,167.0,72.0,48.0,16.2,311.0,429.0,132.0,90.0,89.0,118.0,645.0,108.0,72.0,76.0,1,Tuesday,Tuesday
2021-08-30 21:40:33,2021-08-31 22:50:31,UTC-04:00,41.0,36.0,64.0,17.9,3345.0,168.0,60.0,55.0,16.1,369.0,492.0,188.0,82.0,99.0,123.0,670.0,120.0,74.0,82.0,1,Monday,Monday
2021-08-29 22:42:33,2021-08-30 21:40:33,UTC-04:00,36.0,37.0,61.0,19.7,3637.0,196.0,66.0,61.0,16.1,389.0,482.0,265.0,70.0,54.0,93.0,638.0,108.0,80.0,88.0,1,Sunday,Sunday
2021-08-28 22:12:54,2021-08-29 22:42:33,UTC-04:00,35.0,36.0,61.0,16.8,3288.0,152.0,64.0,65.0,16.1,402.0,575.0,200.0,122.0,80.0,173.0,621.0,89.0,70.0,85.0,1,Saturday,Saturday
2021-08-27 22:34:17,2021-08-28 22:12:54,UTC-04:00,46.0,36.0,70.0,17.2,3049.0,164.0,62.0,71.0,16.5,461.0,545.0,208.0,112.0,141.0,84.0,646.0,108.0,85.0,80.0,1,Friday,Friday
2021-08-26 22:07:36,2021-08-27 22:34:17,UTC-04:00,73.0,35.0,82.0,18.0,2968.0,196.0,60.0,65.0,16.4,416.0,532.0,201.0,111.0,104.0,116.0,638.0,132.0,78.0,75.0,2,Thursday,Thursday
2021-08-25 22:41:38,2021-08-26 22:07:36,UTC-04:00,57.0,37.0,78.0,15.9,2620.0,175.0,58.0,57.0,16.7,383.0,492.0,218.0,92.0,73.0,109.0,674.0,148.0,78.0,77.0,1,Wednesday,Wednesday
2021-08-25 00:59:08,2021-08-25 22:41:38,UTC-04:00,69.0,36.0,91.0,16.3,2861.0,184.0,67.0,38.0,16.7,252.0,330.0,175.0,58.0,19.0,78.0,662.0,129.0,77.0,82.0,2,Wednesday,Wednesday
2021-08-23 23:02:39,2021-08-25 00:59:08,UTC-04:00,49.0,39.0,80.0,17.3,3411.0,172.0,66.0,46.0,17.2,315.0,440.0,236.0,54.0,25.0,125.0,678.0,146.0,71.0,86.0,1,Monday,Monday
2021-08-23 00:04:10,2021-08-23 23:02:39,UTC-04:00,52.0,35.0,75.0,17.2,3082.0,176.0,67.0,39.0,16.1,266.0,380.0,151.0,71.0,44.0,114.0,678.0,144.0,70.0,87.0,1,Monday,Monday
2021-08-22 00:26:28,2021-08-23 00:04:10,UTC-04:00,62.0,37.0,83.0,17.4,3325.0,167.0,68.0,40.0,16.6,286.0,353.0,205.0,58.0,23.0,67.0,706.0,151.0,80.0,76.0,1,Sunday,Sunday
2021-08-20 23:19:15,2021-08-22 00:26:28,UTC-04:00,46.0,35.0,72.0,20.6,4720.0,191.0,74.0,37.0,16.1,259.0,382.0,149.0,63.0,47.0,123.0,701.0,148.0,67.0,79.0,1,Friday,Friday
2021-08-19 22:36:26,2021-08-20 23:19:15,UTC-04:00,63.0,37.0,82.0,20.2,4335.0,176.0,70.0,52.0,16.6,360.0,497.0,245.0,71.0,44.0,137.0,688.0,144.0,73.0,72.0,1,Thursday,Thursday
2021-08-19 00:49:27,2021-08-19 22:36:26,UTC-04:00,67.0,36.0,85.0,18.8,3461.0,175.0,67.0,40.0,16.3,269.0,336.0,195.0,20.0,54.0,67.0,668.0,126.0,80.0,65.0,2,Thursday,Thursday
2021-08-17 21:22:52,2021-08-19 00:49:27,UTC-04:00,38.0,35.0,61.0,18.5,3870.0,173.0,65.0,59.0,15.7,403.0,563.0,233.0,66.0,104.0,160.0,690.0,136.0,71.0,63.0,1,Tuesday,Tuesday
2021-08-17 00:20:55,2021-08-17 21:22:52,UTC-04:00,39.0,36.0,67.0,20.3,3415.0,197.0,65.0,43.0,16.5,281.0,474.0,131.0,84.0,66.0,193.0,659.0,135.0,59.0,62.0,1,Tuesday,Tuesday
2021-08-15 22:04:14,2021-08-17 00:20:55,UTC-04:00,43.0,36.0,67.0,19.3,4040.0,175.0,68.0,56.0,16.1,383.0,546.0,194.0,105.0,84.0,163.0,685.0,129.0,71.0,78.0,1,Sunday,Sunday
2021-08-14 23:03:02,2021-08-15 22:04:14,UTC-04:00,65.0,36.0,81.0,20.6,4198.0,187.0,71.0,58.0,16.5,379.0,495.0,227.0,94.0,58.0,116.0,651.0,115.0,76.0,83.0,1,Saturday,Saturday
2021-08-13 23:15:21,2021-08-14 23:03:02,UTC-04:00,52.0,36.0,75.0,17.7,3202.0,171.0,64.0,52.0,16.3,331.0,454.0,203.0,72.0,56.0,123.0,642.0,129.0,73.0,76.0,1,Friday,Friday
2021-08-12 22:56:02,2021-08-13 23:15:21,UTC-04:00,67.0,36.0,84.0,20.0,3793.0,180.0,65.0,58.0,16.5,371.0,473.0,215.0,55.0,101.0,102.0,636.0,115.0,78.0,80.0,2,Thursday,Thursday
2021-08-11 23:32:22,2021-08-12 22:56:02,UTC-04:00,61.0,35.0,79.0,19.0,3563.0,180.0,66.0,52.0,15.9,354.0,445.0,217.0,64.0,73.0,91.0,680.0,129.0,79.0,80.0,1,Wednesday,Wednesday
2021-08-10 22:21:21,2021-08-11 23:32:22,UTC-04:00,23.0,35.0,50.0,19.8,4013.0,190.0,68.0,46.0,15.5,277.0,479.0,147.0,82.0,48.0,202.0,607.0,120.0,58.0,77.0,0,Tuesday,Tuesday
2021-08-09 23:00:00,2021-08-10 22:21:21,UTC-04:00,80.0,34.0,93.0,12.0,2103.0,165.0,55.0,50.0,16.2,325.0,470.0,201.0,81.0,43.0,145.0,657.0,126.0,72.0,77.0,2,Monday,Monday
2021-08-08 23:21:34,2021-08-09 23:00:00,UTC-04:00,87.0,35.0,92.0,19.9,3684.0,188.0,67.0,59.0,16.2,396.0,465.0,242.0,79.0,75.0,69.0,670.0,122.0,85.0,74.0,2,Sunday,Sunday
2021-08-07 22:30:00,2021-08-08 23:21:34,UTC-04:00,56.0,35.0,79.0,19.4,3595.0,191.0,63.0,49.0,16.4,321.0,452.0,169.0,55.0,97.0,131.0,654.0,134.0,78.0,61.0,1,Saturday,Saturday
2021-08-06 23:25:00,2021-08-07 22:30:00,UTC-04:00,39.0,37.0,70.0,19.3,3514.0,190.0,67.0,44.0,16.5,289.0,445.0,134.0,83.0,72.0,156.0,663.0,117.0,70.0,76.0,1,Friday,Friday
2021-08-06 00:18:38,2021-08-06 23:25:00,UTC-04:00,27.0,35.0,55.0,19.1,3514.0,176.0,66.0,62.0,15.6,385.0,486.0,247.0,49.0,89.0,101.0,622.0,95.0,79.0,68.0,0,Friday,Friday
2021-08-04 23:12:58,2021-08-06 00:18:38,UTC-04:00,53.0,36.0,77.0,19.8,3635.0,181.0,64.0,69.0,16.3,403.0,496.0,211.0,114.0,78.0,93.0,586.0,138.0,81.0,72.0,1,Wednesday,Wednesday
